artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Mobb Deep,"Shook Ones, Pt. II",33ZXjLCpiINn8eQIDYEPTD,77,325507,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4,Rock
Pusha T,Hard Piano,3HgA5R5alihocnOYE9ihpS,49,195733,0.582,0.778,4,-3.776,0,0.178,0.0347,0.0,0.21,0.205,82.193,4,Hip-Hop
"Tyler, The Creator",WILSHIRE,1pbbsI2KGPOMu0HmuGccBu,63,515865,0.555,0.712,1,-7.446,1,0.323,0.0451,5.14e-06,0.182,0.555,78.958,4,Hip-Hop
Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst",3q2v8QaTnHLveAQzR6gvYm,64,723573,0.654,0.753,11,-7.556,0,0.395,0.303,8.08e-05,0.13,0.371,110.722,5,Hip-Hop
JID,Sistanem,3uFweCfk2Tk4fZzmTMzbRe,56,369779,0.524,0.574,9,-9.051,0,0.349,0.336,5.1e-06,0.122,0.67,95.89,4,Hip-Hop
Baby Keem,scars,350l5Tkctw6RMcIdl7MlaS,52,266011,0.749,0.699,10,-6.687,0,0.0428,0.245,4.74e-05,0.122,0.39,124.003,4,Hip-Hop
Kanye West,Saint Pablo,1o0kWPueYo94LIjPYOE5Nf,71,372113,0.461,0.772,2,-3.98,0,0.375,0.282,0.0,0.178,0.414,167.018,4,Hip-Hop
Kevin Abstract,The Greys,2weMF1nCZANujeWOvy73sa,40,279560,0.346,0.686,4,-5.911,0,0.0463,0.0769,0.176,0.0885,0.604,176.881,3,Blues
Future,Codeine Crazy,0joQFwiBKmi6X1Iq5R1ubH,72,346907,0.745,0.617,6,-7.22,0,0.144,0.168,0.0,0.389,0.185,125.98,4,Hip-Hop
Jann Arden,Insensitive,0yx00RNuvZY5Vn8nlpUnMk,52,255893,0.512,0.429,2,-9.931,1,0.0256,0.154,8.81e-05,0.101,0.332,178.669,4,Indie
Hemlock Ernst,Down,0XnhTgMuX3ncdnf5mZnce8,41,258462,0.841,0.902,6,-8.991,1,0.221,0.397,0.00945,0.119,0.289,104.073,4,Electronic
Nujabes,Luv(sic.) pt3 (feat. Shing02),4xlpJ99yL9xYQtzG6c3hwk,62,336867,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,4,R&B
Saba,Photosynthesis,3DlgDXIYtnWtJKiB8bZQMv,60,201733,0.777,0.662,7,-8.393,1,0.27,0.536,4.61e-06,0.593,0.634,111.13,4,Alternative
Future,I Serve the Base,1Rq4GtIucW9CAcF8B6PAbW,72,190893,0.636,0.57,1,-5.973,1,0.0571,0.011,0.00204,0.0677,0.0883,168.202,4,Hip-Hop
Saba,Ziplock,2RmENPt0yPmU09BKjKC26M,56,198960,0.878,0.441,11,-8.864,0,0.0778,0.103,0.0,0.102,0.374,115.051,4,Hip-Hop
Earl Sweatshirt,Ontheway! (feat. Standing On The Corner),4HJ4L8hpX9YjTwipKTYwaW,50,101987,0.319,0.751,11,-2.801,1,0.0619,0.0219,0.151,0.515,0.474,69.79,4,Alternative
Saba,PROM / KING,5cZpwmXGzDvBDX9Iv6wXzx,49,451616,0.516,0.859,7,-7.263,1,0.708,0.229,0.0,0.122,0.778,77.307,4,Hip-Hop
Slauson Malone 1,Smile #2,7osdzxtjERvxm03DaPsubC,42,77896,0.561,0.623,7,-4.973,0,0.124,0.86,0.0045,0.134,0.541,85.854,4,R&B
Phoebe Bridgers,Christmas Song,67xmO7UDlUazlQ9Nje9pmb,39,221907,0.403,0.205,0,-13.854,1,0.0356,0.884,4.29e-05,0.11,0.281,116.613,3,Folk
Life Without Buildings,The Leanover,0lE2Jl13AfiAONJKrrXDxD,52,323973,0.515,0.758,11,-8.404,0,0.0471,0.24,0.000947,0.144,0.677,118.402,4,Folk
Life Without Buildings,Sorrow,3TdNIsGBfhzR97ySB4aYGl,39,413507,0.53,0.143,5,-22.744,1,0.0679,0.68,0.00105,0.112,0.487,169.963,4,Jazz
Slauson Malone 1,Smile #6 (see page 198 and 158),4e4V3HnqACg6CTuiHCTZsp,31,240490,0.62,0.291,4,-10.27,0,0.339,0.739,0.00452,0.229,0.0586,116.052,4,Electronic
Puma Blue,(She's) Just a Phase,600uAlmfRmnPG7b2whsVTI,58,186727,0.423,0.378,1,-10.488,0,0.0527,0.702,0.000644,0.146,0.0897,143.432,4,R&B
Standing On The Corner,Played Us Cheap,2P1lnIdNV101Js2khyxIIx,33,206777,0.34,0.536,10,-9.265,1,0.0437,0.77,0.00388,0.338,0.54,84.792,4,Blues
Saba,BUSY / SIRENS,4YdRnTnXYwgI48kkzWy6uk,53,329542,0.667,0.465,1,-10.337,1,0.344,0.473,0.0,0.101,0.474,133.832,4,Hip-Hop
Turnstile,Alien Love Call,5D7AFGloFpXtdT2PiKTEC3,60,222742,0.606,0.583,4,-8.389,1,0.0284,0.00633,0.404,0.193,0.807,125.974,4,Electronic
