,artist,name,id,date_added,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,Faye Webster,Come to Atlanta,1MenPeY2vhqhoKgCkUgFtc,2023-07-13 22:23:45+00:00,49,152947,0.613,0.589,2,-9.849,1,0.036,0.0758,0.722,0.112,0.543,172.148,4,Electronic
1,Faye Webster,A Dream With a Baseball Player,7hNPcyHhNYLCtTFa5bxvX1,2023-07-10 12:56:05+00:00,60,221187,0.617,0.371,1,-10.364,1,0.0356,0.488,0.00582,0.069,0.588,139.931,4,Folk
2,Faye Webster,Better Distractions,3CmcswzHOACDjooV1KLULN,2023-07-04 19:41:27+00:00,51,249985,0.701,0.52,6,-9.541,1,0.0243,0.0654,0.0147,0.0916,0.566,96.372,4,Alternative
3,Faye Webster,In A Good Way,2VYnlKxB8jpbCeLUjQsebc,2023-06-29 15:48:07+00:00,67,224680,0.587,0.286,9,-8.839,1,0.0315,0.185,0.0288,0.214,0.302,71.123,4,Indie
4,Faye Webster,What Used To Be Mine,1Ozn7Blfer1Bcu9sQItv1P,2023-06-16 07:43:49+00:00,42,188840,0.416,0.313,0,-13.004,1,0.0341,0.0132,0.00107,0.0893,0.0763,117.093,3,Folk
5,Faye Webster,Kingston,5WbfFTuIldjL9x7W6y5l7R,2023-06-16 07:43:43+00:00,72,202653,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,4,Indie
6,Faye Webster,Jonny,5tuBenbZ1Or9xENTyOKoGC,2023-06-16 07:43:40+00:00,60,226507,0.609,0.232,6,-11.989,1,0.0272,0.417,0.0187,0.107,0.27,79.821,3,Folk
7,Faye Webster,Pigeon,5HTVUeOM0ejn4xwCDqASdq,2023-06-16 07:43:34+00:00,45,158400,0.763,0.357,1,-9.753,0,0.035,0.379,0.00621,0.123,0.664,80.034,4,R&B
8,Faye Webster,Right Side of My Neck,3cxZT78mZDyLsLPJKcTu3U,2023-06-16 07:43:28+00:00,68,153320,0.716,0.515,1,-9.073,1,0.0261,0.00116,0.000249,0.326,0.315,117.039,4,Indie
9,Faye Webster,Room Temperature,6TPTnROcnJQXuAyRDw2qfu,2023-06-16 07:43:17+00:00,46,244307,0.55,0.548,7,-7.873,0,0.0247,0.154,0.0776,0.102,0.412,111.454,4,Folk
10,Faye Webster,Hurts Me Too,0uphGVj1uIticJK6gb2WnO,2023-06-16 07:43:09+00:00,58,201120,0.464,0.299,5,-11.424,1,0.0275,0.105,0.261,0.0911,0.116,95.548,3,Folk
11,Faye Webster,She Won't Go Away,5sGGlfbqdGlJr3ZMMjODoy,2023-05-08 23:56:27+00:00,62,185647,0.71,0.394,9,-9.306,1,0.0295,0.309,2.57e-06,0.105,0.447,92.977,4,Indie
12,Faye Webster,I Know You,71BWZa1liIRyUiuJ3MB66o,2023-04-27 23:05:46+00:00,73,251667,0.454,0.385,10,-12.849,1,0.0313,0.287,9.97e-05,0.0616,0.144,154.918,4,Dance
13,Faye Webster,Sometimes,06ibHcrLNiOUBYkyLW4GP5,2023-04-27 22:53:06+00:00,49,273267,0.663,0.314,11,-12.267,1,0.0268,0.419,0.175,0.113,0.162,98.319,3,Folk
14,Faye Webster,Both All The Time,1NhwcAlWb4lY68d2bHBdGx,2023-04-27 22:52:57+00:00,37,192893,0.683,0.287,10,-13.028,1,0.0305,0.426,0.0308,0.095,0.332,78.63,4,Blues
15,Faye Webster,A Stranger,3TknA1mVqvo11NTNVuiELk,2023-04-27 22:51:05+00:00,41,179640,0.29,0.279,5,-11.193,1,0.0324,0.183,0.303,0.365,0.159,62.316,4,Soundtrack
16,Faye Webster,I Know I'm Funny haha,3V66T9O5aOycr8raWMpyLP,2023-04-27 22:50:56+00:00,50,163880,0.725,0.376,5,-10.421,1,0.0307,0.0997,0.481,0.106,0.551,92.565,4,Jazz
17,Faye Webster,Overslept (feat. mei ehara),0zzePeqwaCTJxqgkIVcivx,2023-04-27 22:50:53+00:00,47,209987,0.694,0.141,7,-17.538,1,0.0427,0.463,0.00232,0.0784,0.282,137.524,4,Folk
18,Faye Webster,Better Distractions - Recorded At Electric Lady Studios,0dLX0gEey4qjKsdJaOKpcx,2023-04-25 17:33:58+00:00,28,257456,0.671,0.49,6,-11.239,1,0.0273,0.365,0.0492,0.141,0.718,95.074,4,Blues
19,Faye Webster,Kind Of - Recorded At Electric Lady Studios,0df9G8T1AkYwB3lTrLQA6q,2023-04-25 17:27:13+00:00,27,280938,0.536,0.518,5,-11.264,0,0.0278,0.315,0.0403,0.0947,0.632,99.718,4,Blues
20,Faye Webster,I Know I’m Funny haha - Recorded At Electric Lady Studios,1SJGeoreHwLo5oTiNxEN3I,2023-04-25 17:23:12+00:00,28,167349,0.716,0.316,5,-12.218,1,0.033,0.324,0.198,0.367,0.444,94.523,4,Jazz
21,Faye Webster,In A Good Way - Recorded At Electric Lady Studios,1xbam4kmMbrLpbmpuZpZdG,2023-04-25 17:17:50+00:00,35,209169,0.677,0.285,11,-13.395,0,0.113,0.637,0.0729,0.0939,0.496,73.95,4,Jazz
