id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1172,Blur,Song 2 - 2012 Remaster,0cHFnnobCebrFG3PlfOkiR,0,121160,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4.0,Alternative
1196,Blur,The Universal,5llJJM8CQpZhfUBwrJzp4c,1,238520,0.32,0.546,9,-8.33,1,0.0278,0.181,1.98e-06,0.0928,0.263,163.824,3.0,Alternative
1198,Blur,Song 2 - 2012 Remaster,28b9AxJDN10waQFdU71ggu,0,121160,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4.0,Alternative
1401,Declan McKenna,Brazil,4sNG6zQBmtq7M8aeeKJRMQ,80,252306,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,4.0,Alternative
1619,Blur,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,78,121160,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4.0,Alternative
70978,Earl Sweatshirt,Chum,6plT7nFGiXKSBP9HFSI4ef,62,243773,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,4.0,Alternative
71142,Arcade Fire,Wake Up,6Hmj7SrLRbreLVfVS7mV1S,63,335333,0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,4.0,Alternative
71922,Arcade Fire,The Suburbs,2UWdUez9MB9yzL7Y81Mcip,64,315200,0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,4.0,Alternative
71978,Earl Sweatshirt,Hive,6JKoTnberZoBgUuxa6l4Kh,58,277240,0.619,0.742,1,-6.995,1,0.496,0.204,0.0,0.166,0.782,144.602,4.0,Alternative
72065,Earl Sweatshirt,Sunday,0fAehaneUJdlSlWXYe1KZp,57,205800,0.716,0.568,2,-8.904,1,0.212,0.278,1.98e-06,0.385,0.905,136.894,4.0,Alternative
72197,Earl Sweatshirt,Riot!,6cmt9CRoK0KGcNg9Tpje53,54,66133,0.489,0.624,4,-1.916,0,0.0344,0.834,0.347,0.325,0.574,167.108,4.0,Alternative
72263,Earl Sweatshirt,Shattered Dreams,2LQb3iYBzoxbxct2IexjBc,56,141000,0.377,0.506,11,-4.773,0,0.157,0.00889,1.15e-06,0.482,0.787,145.254,4.0,Alternative
72334,Arcade Fire,Everything Now,7KsZHCfOitA5V9oQYVdltG,64,303013,0.548,0.865,0,-5.325,1,0.0302,0.00171,0.000449,0.457,0.61,116.046,4.0,Alternative
72415,Earl Sweatshirt,The Mint (feat. Navy Blue),5uLZ3YIQGC0mOk6q3lJ6Ng,56,165120,0.417,0.731,11,-4.989,1,0.265,0.00525,0.0352,0.621,0.575,134.003,,Alternative
72445,Arcade Fire,Rebellion (Lies),0xOeB16JDbBJBJKSdHbElT,61,310893,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,4.0,Alternative
72527,Earl Sweatshirt,Ontheway!,4HJ4L8hpX9YjTwipKTYwaW,53,101987,0.319,0.751,11,-2.801,1,0.0619,0.0219,0.151,0.515,0.474,69.79,4.0,Alternative
73924,Earl Sweatshirt,Wool,228nYWqXzsBS9Ha0SIpM7q,53,153120,0.732,0.473,1,-7.197,1,0.271,0.347,0.0,0.366,0.394,47.811,4.0,Alternative
73932,Arcade Fire,Sprawl II (Mountains Beyond Mountains),0U0p8weaMIbIFMJ0CPlvHV,57,325547,0.518,0.81,8,-6.445,1,0.029,0.016,0.0013,0.115,0.179,99.968,4.0,Alternative
74036,Earl Sweatshirt,Whoa,1rW2nkUbmKD2MC22YrU8cX,53,196427,0.541,0.748,2,-6.321,1,0.31,0.00141,3.1e-06,0.322,0.351,79.616,4.0,Alternative
74162,Arcade Fire,Creature Comfort,2voWPWlDfIthC6GUjaIQyV,56,283507,0.423,0.949,11,-4.097,1,0.0972,0.0181,0.00355,0.292,0.278,189.976,4.0,Alternative
74231,Earl Sweatshirt,December 24,0LppLsxXXDBTqihx84BJGo,53,106853,0.547,0.679,1,-6.374,1,0.383,0.712,0.0,0.154,0.558,79.618,4.0,Alternative
74293,Earl Sweatshirt,Cold Summers,0xUbrvxYljD4OZ02BbuPpK,51,66120,0.326,0.923,10,-2.946,0,0.431,0.437,0.0,0.385,0.799,170.949,4.0,Alternative
74310,Earl Sweatshirt,Nowhere2go,2KrHM3YwVwewEAxss7iuj7,53,113787,0.518,0.706,8,-5.148,1,0.227,0.0109,6.5e-05,0.496,0.418,128.26,4.0,Alternative
74385,Arcade Fire,Ready to Start,01wsKcJ8ptqUmatpJlEGYj,58,255893,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,4.0,Alternative
74445,Arcade Fire,Put Your Money on Me,0SaEmR2rdtfsZawPjMYkWg,59,353240,0.604,0.768,7,-6.484,1,0.0308,0.541,0.0201,0.752,0.645,123.067,4.0,Alternative
74533,Arcade Fire,Baby Mine,1UU3IpxOVpjjHdoQjchpgX,56,177293,0.301,0.316,9,-10.81,1,0.0345,0.706,0.0029,0.0751,0.149,102.32,4.0,Alternative
74797,Arcade Fire,Neighborhood #1 (Tunnels),0WZZJ0mDKIkLfL0710ssZt,55,288333,0.282,0.738,0,-5.566,1,0.0324,0.0647,0.0142,0.29,0.211,126.914,4.0,Alternative
74903,Earl Sweatshirt,Huey,3iut542DAj1c44VzyA6CpN,50,112067,0.423,0.59,9,-7.37,0,0.156,0.55,4.22e-05,0.306,0.387,76.035,4.0,Alternative
74940,Earl Sweatshirt,Sasquatch,5BikEzeYYFtRvR1CL1UTRg,51,168240,0.457,0.687,9,-7.506,1,0.316,0.0123,0.0,0.703,0.217,80.51,4.0,Alternative
74960,Blur,Song 2,3GfOAdcoc3X5GPiiXmpBjK,61,121880,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.699,4.0,Alternative
74976,Earl Sweatshirt,Azucar,1mAEQbdq0dZQWfujWG6rCd,50,85840,0.459,0.864,1,-2.163,1,0.263,0.171,2.95e-06,0.683,0.703,106.175,4.0,Alternative
75061,Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",2ufkOFn5LKYNoAdss0GUKR,58,176467,0.221,0.355,9,-9.469,1,0.0389,0.681,0.00265,0.067,0.15,68.903,4.0,Alternative
75216,Arcade Fire,Electric Blue,0KWcRXcnGoB0gWSu4mshF8,55,242373,0.663,0.774,0,-5.157,1,0.0863,0.113,0.112,0.462,0.681,102.982,4.0,Alternative
75228,Earl Sweatshirt,Red Water,6GsLY75eZHnOAWFqdKmZ4b,50,104427,0.58,0.722,1,-5.686,1,0.271,0.513,0.0,0.405,0.777,47.917,5.0,Alternative
77832,Earl Sweatshirt,Burgundy,43tVqovviXhkmOV5LOkTn7,49,127413,0.539,0.846,0,-5.539,1,0.252,0.218,0.0,0.251,0.49,130.358,4.0,Alternative
77855,Earl Sweatshirt,Faucet,7KKW3MSfqCCai76gKSZEco,49,187747,0.681,0.265,10,-11.691,1,0.245,0.196,0.0822,0.126,0.178,73.011,4.0,Alternative
77861,Blur,Girls and Boys,5CeL9C3bsoe4yzYS1Qz8cw,65,259387,0.693,0.875,7,-8.354,0,0.0315,0.00971,0.0,0.0601,0.901,120.048,4.0,Alternative
77943,Earl Sweatshirt,The Bends,2O2l5DJirlZAwLwpOAVbXR,49,94547,0.512,0.576,8,-4.238,0,0.283,0.0381,0.0365,0.198,0.319,75.978,4.0,Alternative
