,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,similarity
0,Wilco,You and I,2fdMAIsNH4wY7RRda8aCfL,41,205240,0.71,0.652,8,-7.476,1,0.0294,0.285,2.87e-05,0.166,0.597,122.189,4.0,Alternative,0.17296870659319125
1,Col3trane,Perfect Timing,70ImmsjSK86Qqqy7QYxI0C,46,220345,0.436,0.631,6,-9.101,0,0.192,0.0527,0.0686,0.14,0.413,153.295,5.0,Alternative,0.17296869998405556
2,Moliy,Body on fire,3VgCXhYG94j4EXJWhgm1mQ,7,171764,0.497,0.609,7,-8.684,0,0.06,0.149,0.0128,0.205,0.731,139.39,5.0,Alternative,0.17296869994149877
3,Run The Jewels,Legend Has It,4RnfMhMUMqHlrn4V6A3KfS,57,205867,0.828,0.564,7,-7.084,1,0.254,0.0257,0.0,0.0966,0.467,120.967,4.0,Alternative,0.1729686991568158
4,Joe Hertz,Møøn,10TN0WSmKI3O6yJuRNblYg,49,180200,0.645,0.681,10,-7.798,1,0.0473,0.0994,0.00496,0.144,0.436,129.992,4.0,Alternative,0.1729686837931198
5,Virus,Pecados para Dos,5QSe2vbcBasm02vr76vqg4,47,236813,0.762,0.805,0,-7.632,1,0.037,0.132,0.168,0.0566,0.345,128.181,4.0,Alternative,0.17296866875494257
6,Mike Shinoda,World's On Fire,7G1OsYwrJwyQjNBeBTRCbi,43,195560,0.721,0.568,2,-7.809,1,0.0363,0.017,0.0,0.0786,0.298,129.002,4.0,Alternative,0.17296866577765205
7,Vilen,Aankhein,18oO0TSyS9lIW9sioZyCNN,63,219428,0.416,0.363,6,-8.371,1,0.0294,0.512,1.3e-05,0.106,0.469,140.061,5.0,Hip-Hop,0.20084297612660532
8,A$AP Ferg,Kristi,1eOcjXKuBtvIi2NrSAFrPu,50,203034,0.675,0.588,1,-7.326,1,0.195,0.164,4.25e-06,0.369,0.333,120.705,4.0,Hip-Hop,0.20084294497520788
9,Anirudh Ravichander;Jonita Gandhi,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",6yvxu91deFKt3X1QoV6qMv,76,279677,0.608,0.757,2,-6.945,1,0.164,0.259,0.00216,0.259,0.625,124.078,4.0,Hip-Hop,0.20084292399415687
10,Kendrick Lamar,Wesley's Theory,7Ks4VCY1wFebnOdJrM13t6,62,287360,0.509,0.787,7,-6.754,1,0.265,0.359,2.76e-05,0.26,0.507,114.449,4.0,Hip-Hop,0.20084290915696784
11,Magic & Bird,JUDO,3kBveUeeAo0Yx9l41Rbjtb,48,213558,0.819,0.422,9,-7.887,1,0.0783,0.0244,0.0,0.169,0.347,130.034,4.0,Hip-Hop,0.20084288416568838
12,Upchurch,Come and Get It,4mDhugQzEcapjFMbB1Ma8H,57,213333,0.826,0.714,4,-7.284,1,0.295,0.199,0.000485,0.167,0.348,125.94,4.0,Hip-Hop,0.20084288398927863
13,$uicideBoy$,Marlboros & White Widow,7pu5jnOlS1k4fmigtRaXvG,52,181577,0.738,0.596,2,-7.222,1,0.149,0.00416,5.08e-05,0.15,0.255,118.922,4.0,Hip-Hop,0.20084285110246794
14,SahBabii,Watery,6abXrCXna2s2lOpi89ejdN,51,210563,0.742,0.535,11,-7.049,1,0.0725,0.195,0.0,0.14,0.381,120.911,4.0,Hip-Hop,0.200842843092494
15,Denzel Curry,32 Ave Intro,0FH7yQaW5eU7Z9gqoOCcLr,52,114362,0.774,0.571,2,-7.4,1,0.0816,0.285,0.0,0.111,0.144,123.009,4.0,Hip-Hop,0.20084282440250212
16,The Beatles,You're Going To Lose That Girl - Remastered 2009,70HNt0eoBVqr4ss68U8x3B,55,138666,0.533,0.66,4,-7.694,1,0.0337,0.346,0.0,0.26,0.818,131.975,4.0,Rock,0.2776987037743252
17,Queen,One Vision - Remastered 2011,0xzhryP1AoHUazYdJ5rj3B,56,311027,0.433,0.927,2,-7.275,1,0.287,0.0392,0.000524,0.366,0.283,119.971,4.0,Rock,0.27769867883934246
18,Soul Asylum,Runaway Train,3Ib3SJV8ZXuLvDiDb2w1As,56,266066,0.616,0.714,0,-7.02,1,0.0385,0.00481,0.0,0.133,0.53,117.422,4.0,Rock,0.2776986583895562
19,Rata Blanca,Abeja Reina,14tRCUS7kFsJhsUNjT9X0t,22,581398,0.553,0.631,1,-7.815,1,0.0421,0.0575,0.0237,0.195,0.5,124.951,4.0,Rock,0.27769861959999564
20,Tame Impala,Half Full Glass Of Wine,0TeHvhaNBSuv7yGQ9dLouv,51,266920,0.686,0.779,0,-7.178,1,0.0751,0.27,0.0617,0.0785,0.665,126.146,4.0,Rock,0.27769861710359417
21,BOØWY,DANCE CRAZE,0j23sgMqelcyiP866gXsBI,24,179133,0.769,0.804,10,-7.534,1,0.0429,0.0225,0.0296,0.021,0.632,127.131,4.0,Rock,0.27769861464895496
22,The Who,I Can't Explain - Stereo Version,0xHxeH4QTqlfNrQvczkoTA,53,125967,0.607,0.783,9,-8.391,1,0.0505,0.0409,0.0,0.0461,0.843,138.825,4.0,Rock,0.27769857901245576
23,Specimen,Lovers,5NuELzFROpg4Br5lQZ6zNw,22,184040,0.604,0.596,0,-7.705,1,0.0251,4.48e-05,6.11e-06,0.352,0.366,130.683,4.0,Rock,0.27769853931955973
24,The Runaways,Cherry Bomb,7cdnq45E9aP2XDStHg5vd7,69,138706,0.501,0.813,11,-8.192,1,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,4.0,Rock,0.2776985380562485
25,Sepultura,Refuse / Resist,2OoS1aZFAFscH1cUiKlazH,57,199226,0.475,0.953,2,-6.951,1,0.15,0.000291,0.00338,0.104,0.232,118.033,4.0,Rock,0.27769841704660014
26,Led Zeppelin,Fool in the Rain - Remaster,3i25w2HOWoafnTIiWJCL71,64,370920,0.52,0.912,0,-7.512,1,0.0487,0.124,0.00151,0.239,0.702,131.403,4.0,Rock,0.27769839596365
27,Elton John,Are You Ready For Love - '79 Version Radio Edit,1cyft3wmDiG2T3z7Uf4R1Z,48,210760,0.815,0.664,2,-6.915,1,0.0326,0.227,0.00147,0.108,0.73,116.53,4.0,Rock,0.27769839382436506
28,Elton John,Bennie And The Jets - Remastered 2014,0dBatXn1vVUl0jLgXRClwD,71,322549,0.665,0.673,0,-7.95,1,0.0493,0.259,7.62e-06,0.497,0.779,132.642,4.0,Rock,0.2776983742062094
29,Ben E. King,Stand By Me,2KQM3kDM0zMBC9iynePBbS,58,174253,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46,4.0,Rock,0.27769836853009694
