,0
acousticness,0.0322
danceability,0.676
energy,0.461
instrumentalness,1.01e-06
key_0,0.0
key_1,1.0
key_10,0.0
key_11,0.0
key_2,0.0
key_3,0.0
key_4,0.0
key_5,0.0
key_6,0.0
key_7,0.0
key_8,0.0
key_9,0.0
liveness,0.358
loudness,-6.746
mode_0,1.0
mode_1,0.0
speechiness,0.143
tempo,87.917
time_signature,4.0
track_genre_Alternative,0.0
track_genre_Anime,0.0
track_genre_Blues,0.0
track_genre_Classical,0.0
track_genre_Country,0.0
track_genre_Dance,0.0
track_genre_Electronic,0.0
track_genre_Folk,0.0
track_genre_Hip-Hop,0.0
track_genre_Indie,1.0
track_genre_Jazz,0.0
track_genre_Opera,0.0
track_genre_Pop,0.0
track_genre_R&B,0.0
track_genre_Reggae,0.0
track_genre_Reggaeton,0.0
track_genre_Rock,0.0
track_genre_Soul,0.0
track_genre_Soundtrack,0.0
track_genre_World,0.0
valence,0.715
