artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,similarity
Tedeschi Trucks Band,Midnight in Harlem,1ncSAZD0bzvU3cu0uPLbWd,59,352667,0.447,0.557,9,-9.92,1,0.035,0.35,0.0145,0.11,0.43,152.058,4.0,Folk,0.8999722218627331
Angel Olsen,Heart Shaped Face,6VF5xT5lR24b76KGg4vikC,48,332907,0.448,0.435,9,-9.049,1,0.0306,0.359,0.00322,0.126,0.606,134.802,4.0,Folk,0.8999721299599651
The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,63,199200,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,4.0,Folk,0.8999720199545118
The Ballroom Thieves,Lost in the Light,0bgqXYJld8cSkAW72VfVDM,58,274221,0.545,0.351,9,-9.863,1,0.0274,0.25,0.00145,0.11,0.405,142.821,4.0,Folk,0.899971369015333
Noah And The Whale,2 Atoms In A Molecule,1V7mHn6zEEUpgysBYxiW9r,44,124627,0.633,0.68,4,-9.748,1,0.086,0.461,0.000108,0.225,0.538,145.043,4.0,Folk,0.8999675209905968
Amber Run,Hide & Seek,56tNMp3B93TFDbWRg92qZS,57,281907,0.33,0.452,9,-8.812,1,0.032,0.306,7.36e-06,0.0518,0.202,134.762,4.0,Folk,0.8999668789965856
Andy Shauf,The Magician,3dsd09qrt34YuS6NPbQtYq,55,231839,0.572,0.33,9,-8.756,1,0.0278,0.378,0.00266,0.126,0.232,135.116,4.0,Folk,0.8999668656731539
Hand Habits,jessica,6twkb1jvVRP56eveuy0KrD,39,243096,0.424,0.464,9,-8.831,1,0.0283,0.252,0.0002,0.118,0.217,138.146,4.0,Folk,0.899966642689732
Kimya Dawson,The Beer,18nZKLSzod0avci3LDix4E,41,191533,0.65,0.629,9,-9.277,1,0.216,0.884,0.0,0.138,0.697,141.047,4.0,Folk,0.8999664512896838
Indian Ocean;Karsh Kale,Behney Do,4PnIVr1Uxdaarnknb5fc49,36,457380,0.584,0.578,0,-10.4,1,0.0303,0.326,0.236,0.113,0.438,151.97,4.0,Folk,0.8999661243846631
