id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1054,Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r,85,238640,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4.0,Alternative
1056,Radiohead,No Surprises,10nyNJ6zNy2YVYLrcwLccB,82,229120,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4.0,Alternative
1078,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,1Vl9pXCmq6m2FbpxqHptTY,2,257812,0.395,0.751,10,-8.547,0,0.0618,5.71e-05,0.838,0.0725,0.455,121.561,4.0,Alternative
1083,The Smashing Pumpkins,Christmastime,0PSKFp3zoNmJzDsOHeLV6l,0,196723,0.165,0.434,0,-8.163,1,0.0288,0.316,0.171,0.213,0.186,77.983,3.0,Alternative
1086,The Smashing Pumpkins,Christmastime,4fdy3vg2bCXU6L77vC6li8,0,196723,0.165,0.434,0,-8.163,1,0.0288,0.316,0.171,0.213,0.186,77.983,3.0,Alternative
1206,The Strokes,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,79,309053,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4.0,Alternative
1406,Radiohead,Karma Police,63OQupATfueTdZMWTxW03A,76,264066,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,4.0,Alternative
1462,Radiohead,High and Dry,2a1iMaoWQ5MnvLFBDv4qkf,75,257480,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4.0,Alternative
1463,The Strokes,"Call It Fate, Call It Karma",3Y4rUyw7XBCK6hGHCOt6rp,72,204773,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4.0,Alternative
1519,Radiohead,Fake Plastic Trees,73CKjW3vsUXRpy3NnX4H7F,72,290706,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,4.0,Alternative
