,artist,name,id,date_added,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,similarity,weighted_similarity
0,Billie Eilish,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,0,92,210373,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,R&B,0.9996850006812976,0.11196472007630533
1,The 1975,"All I Need To Hear (Live from Madison Square Garden, New York, 07.11.22)",3vGZWsmbEIIheudVkM7WG0,0,35,207957,0.272,0.485,11,-10.126,1,0.0369,0.347,2.71e-05,0.988,0.358,84.7,4,World,0.9987867974466682,0.11186412131402683
2,twikipedia,room for one,54bMNcZUsk5AdKHxTGrZL2,0,39,192135,0.402,0.747,4,-6.497,1,0.0389,0.00666,0.192,0.238,0.15,159.59,1,Electronic,0.9989898147672389,0.13985857406741342
3,Bobby Lyle Trio,Night Breeze,6paAzjlDOGavvQR5Lvp1Yn,0,5,406027,0.537,0.483,7,-12.828,1,0.0487,0.265,0.357,0.132,0.522,92.871,4,Electronic,0.9979844305248025,0.13971782027347232
4,McKinley Dixon,Live! from the Kitchen Table,70YS0OCo66lmeeOGBeh3eH,0,31,203120,0.501,0.859,0,-3.889,1,0.148,0.616,0.0,0.845,0.774,136.803,4,World,0.9987668723514457,0.1118618897033619
5,twikipedia,garden,34IY9UyBd6p4cZE1MSIaLy,0,35,223587,0.467,0.619,9,-6.363,1,0.0306,0.146,0.582,0.0854,0.0382,109.808,3,Electronic,0.9997295528427662,0.13996213739798727
6,twikipedia,paper planes,5iQyED7QeCg24J60XvRusO,0,34,271399,0.429,0.881,9,-4.003,1,0.0522,0.00276,0.0154,0.415,0.358,158.564,4,Electronic,0.9986189556380672,0.1398066537893294
7,Childish Gambino,Final Church,78sUOio7Q63zyraK2auLla,0,60,226453,0.401,0.903,1,-5.816,1,0.074,0.048,0.0,0.403,0.65,172.037,4,Pop,0.9990013714779578,0.11188815360553125
8,bl4ck m4rket c4rt,No Food,7AbA5ZbCLt72awIXtxgGmc,0,16,175272,0.502,0.417,2,-10.575,1,0.026,0.0158,0.208,0.12,0.141,110.06,3,Anime,0.9997256416973108,0.1119692718700988
9,twikipedia,cardboard boxes,654N0G5ZrQSThgC9cpMYql,0,34,202087,0.472,0.747,6,-6.57,1,0.0314,0.00863,0.0408,0.15,0.407,137.758,4,Blues,0.9995315705579102,0.2598782083450566
10,twikipedia,boy,4KTVPjSc06yCknWTdy9aps,0,34,303913,0.467,0.769,2,-6.878,1,0.033,0.0475,0.0501,0.133,0.223,159.692,4,Electronic,0.9993775603955226,0.13991285845537316
11,Parannoul,Polaris - Live,1ZWJGh77XqxwBVpZTH2lzZ,0,21,295000,0.177,0.71,6,-4.901,1,0.0895,0.00218,0.436,0.971,0.314,79.992,4,Rock,0.9994695637084678,0.11194059113534839
12,twikipedia,seams,5VCU9SXqgpKmGoKp25njYg,0,32,377504,0.228,0.746,11,-7.498,0,0.0623,0.0076,0.12,0.0608,0.112,148.472,3,Electronic,0.9994898818755089,0.13992858346257123
13,Kendrick Lamar,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,0,94,274192,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,Hip-Hop,0.9998164183396976,0.11197943885404611
14,Paris Texas,tenTHIRTYseven,6aWDlKwTyV1BHuEWUSPzWR,0,35,168006,0.524,0.899,1,-3.836,1,0.0806,0.000457,0.00286,0.658,0.227,160.006,4,Electronic,0.998545679301881,0.13979639510226333
15,Sabrina Carpenter,Please Please Please,5N3hjp1WNayUPZrA8kJmJP,0,78,186365,0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,4,Dance,0.9996902681203972,0.11196531002948447
16,twikipedia,far apart,1NZuYE9QYW3dBT5KrGXCPj,0,34,321476,0.358,0.691,8,-7.211,1,0.0454,0.0164,0.0242,0.152,0.0798,178.851,4,World,0.9992566147394032,0.11191674085081314
17,twikipedia,anyone but you,39UMu1JpHonG1uuGkgxvUZ,0,32,198163,0.402,0.911,0,-3.985,1,0.0469,0.00482,0.000842,0.345,0.303,171.831,4,Electronic,0.9984982102694208,0.13978974943771888
18,twikipedia,learn yourself,4OuCjOaM65ywmGZLVOVxWQ,0,34,169750,0.442,0.864,8,-6.037,1,0.0558,0.000656,0.000291,0.0848,0.141,149.306,4,Electronic,0.9992873230632054,0.13990022522884873
19,Kendrick Lamar,untitled 08 | 09.06.2014.,5bBUDJUfGcG7eFy3Bf4fXv,0,63,235507,0.85,0.524,11,-9.375,0,0.204,0.25,2.46e-06,0.114,0.686,120.004,4,Hip-Hop,0.9998521627544241,0.11198344222849549
